testcase,result,"(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'OX'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O0'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O1'))",comment
SingleSource/Benchmarks/Polybench/datamining/correlation/correlation,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/Benchmarks/Polybench/datamining/covariance/covariance,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/2mm/2mm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/3mm/3mm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/atax/atax,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/bicg/bicg,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/cholesky/cholesky,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/doitgen/doitgen,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/gemm/gemm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/gemver/gemver,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/gesummv/gesummv,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/mvt/mvt,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/symm/symm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/syr2k/syr2k,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/syrk/syrk,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/trisolv/trisolv,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/trmm/trmm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/durbin/durbin,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/dynprog/dynprog,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/gramschmidt/gramschmidt,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/lu/lu,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/medley/floyd-warshall/floyd-warshall,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/medley/reg_detect/reg_detect,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/adi/adi,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/fdtd-2d/fdtd-2d,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/fdtd-apml/fdtd-apml,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/jacobi-1d-imper/jacobi-1d-imper,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/jacobi-2d-imper/jacobi-2d-imper,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/seidel-2d/seidel-2d,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/EH/except,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/ackermann,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/ary,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/ary2,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/ary3,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/fibo,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/hash,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/hash2,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/heapsort,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/hello,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/lists,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/lists1,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/matrix,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/methcall,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/moments,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/Benchmarks/Shootout-C++/nestedloop,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/objinst,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/random,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/reversefile,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/sieve,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/spellcheck,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/strcat,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/sumcol,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/wc,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/wordfreq,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/ackermann,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/ary3,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/fib2,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/hash,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/heapsort,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/hello,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/lists,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/matrix,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/methcall,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/nestedloop,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/objinst,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/random,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/sieve,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout/strcat,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/SmallPT/smallpt,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/Benchmarks/Stanford/Bubblesort,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Stanford/FloatMM,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Stanford/IntMM,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Stanford/Oscar,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Stanford/Perm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Stanford/Puzzle,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Stanford/Queens,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Stanford/Quicksort,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Stanford/RealMM,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Stanford/Towers,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Stanford/Treesort,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/2003-05-14-array-init,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/2003-05-14-expr_stmt,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/2003-06-08-BaseType,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/2003-06-08-VirtualFunctions,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/2003-06-13-Crasher,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/2003-08-20-EnumSizeProblem,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/2003-09-29-NonPODsByValue,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/2008-01-29-ParamAliasesReturn,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/2011-03-28-Bitfield,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/BuiltinTypeInfo,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/ConditionalExpr,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/class_hierarchy,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/ctor_dtor_count,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/ctor_dtor_count-2,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/dead_try_block,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/exception_spec_test,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/function_try_block,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/inlined_cleanup,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/recursive-throw,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/simple_rethrow,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/simple_throw,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/EH/throw_rethrow_test,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/fixups,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/global_ctor,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/global_type,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/ofstream_ctor,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/pointer_member,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/pointer_method,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/pointer_method2,--,PASS,PASS,PASS,--
SingleSource/Regression/C++/short_circuit_dtor,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2003-05-14-initialize-string,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2003-05-21-BitfieldHandling,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2003-05-21-UnionBitfields,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2003-05-21-UnionTest,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2003-05-22-LocalTypeTest,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2003-05-22-VarSizeArray,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2003-05-23-TransparentUnion,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2003-06-16-InvalidInitializer,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2003-06-16-VolatileError,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2003-10-12-GlobalVarInitializers,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2004-02-03-AggregateCopy,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2004-03-15-IndirectGoto,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2004-08-12-InlinerAndAllocas,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2005-05-06-LongLongSignedShift,--,PASS,PASS,PASS,--
SingleSource/Regression/C/2008-01-07-LongDouble,--,PASS,PASS,PASS,--
SingleSource/Regression/C/ConstructorDestructorAttributes,--,PASS,PASS,PASS,--
SingleSource/Regression/C/DuffsDevice,--,PASS,PASS,PASS,--
SingleSource/Regression/C/PR10189,--,PASS,PASS,PASS,--
SingleSource/Regression/C/PR1386,--,PASS,PASS,PASS,--
SingleSource/Regression/C/PR491,--,PASS,PASS,PASS,--
SingleSource/Regression/C/PR640,--,PASS,PASS,PASS,--
SingleSource/Regression/C/badidx,--,PASS,PASS,PASS,--
SingleSource/Regression/C/bigstack,--,PASS,PASS,PASS,--
SingleSource/Regression/C/callargs,--,PASS,PASS,PASS,--
SingleSource/Regression/C/casts,--,PASS,PASS,PASS,--
SingleSource/Regression/C/compare,--,PASS,PASS,PASS,--
SingleSource/Regression/C/globalrefs,--,PASS,PASS,PASS,--
SingleSource/Regression/C/matrixTranspose,--,PASS,PASS,PASS,--
SingleSource/Regression/C/pointer_arithmetic,--,PASS,PASS,PASS,--
SingleSource/Regression/C/sumarray,--,PASS,PASS,PASS,--
SingleSource/Regression/C/sumarray2d,--,PASS,PASS,PASS,--
SingleSource/Regression/C/sumarraymalloc,--,PASS,PASS,PASS,--
SingleSource/Regression/C/test_indvars,--,PASS,PASS,PASS,--
SingleSource/Regression/C/testtrace,--,PASS,PASS,PASS,--
SingleSource/Regression/C/uint64_to_float,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/UnitTests/2002-04-17-PrintfChar,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-05-02-ArgumentTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-05-02-CastTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-05-02-CastTest1,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-05-02-CastTest2,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-05-02-CastTest3,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-05-02-ManyArguments,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-05-03-NotTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-05-19-DivTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-08-02-CastTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-08-02-CastTest2,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-08-19-CodegenBug,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-10-09-ArrayResolution,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-10-12-StructureArgs,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-10-12-StructureArgsSimple,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-10-13-BadLoad,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2002-12-13-MishaTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-04-22-Switch,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-05-02-DependentPHI,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-05-07-VarArgs,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-05-12-MinIntProblem,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-05-14-AtExit,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-05-26-Shorts,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-05-31-CastToBool,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-05-31-LongShifts,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-07-06-IntOverflow,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-07-08-BitOpsTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-07-09-LoadShorts,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-07-09-SignedArgs,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-07-10-SignConversions,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-08-05-CastFPToUint,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-08-11-VaListArg,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-08-20-FoldBug,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-09-18-BitFieldTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-10-13-SwitchTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2003-10-29-ScalarReplBug,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2004-02-02-NegativeZero,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2004-06-20-StaticBitfieldInit,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2004-11-28-GlobalBoolLayout,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2005-05-11-Popcount-ffs-fls,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2005-05-12-Int64ToFP,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2005-05-13-SDivTwo,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2005-07-15-Bitfield-ABI,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2005-07-17-INT-To-FP,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2005-11-29-LongSwitch,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2006-01-23-UnionInit,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2006-01-29-SimpleIndirectCall,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2006-02-04-DivRem,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2006-12-01-float_varg,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2006-12-04-DynAllocAndRestore,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2006-12-07-Compare64BitConstant,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2006-12-11-LoadConstants,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2007-01-04-KNR-Args,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2007-03-02-VaCopy,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2007-04-10-BitfieldTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2007-04-25-weak,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2008-04-18-LoopBug,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2008-04-20-LoopBug2,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2008-07-13-InlineSetjmp,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2009-04-16-BitfieldInitialization,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2009-12-07-StructReturn,--,PASS,PASS,PASS,--
SingleSource/UnitTests/2010-05-24-BitfieldTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/AtomicOps,--,PASS,PASS,PASS,--
SingleSource/UnitTests/C++11/stdthreadbug,--,PASS,PASS,PASS,--
SingleSource/UnitTests/DefaultInitDynArrays,--,PASS,PASS,PASS,--
SingleSource/UnitTests/FloatPrecision,--,PASS,PASS,PASS,--
SingleSource/UnitTests/SignlessTypes/Large/cast,--,PASS,PASS,PASS,--
SingleSource/UnitTests/SignlessTypes/cast-bug,--,PASS,PASS,PASS,--
SingleSource/UnitTests/SignlessTypes/cast2,--,PASS,PASS,PASS,--
SingleSource/UnitTests/SignlessTypes/ccc,--,PASS,PASS,PASS,--
SingleSource/UnitTests/SignlessTypes/div,--,PASS,PASS,PASS,--
SingleSource/UnitTests/SignlessTypes/factor,--,PASS,PASS,PASS,--
SingleSource/UnitTests/SignlessTypes/rem,--,PASS,PASS,PASS,--
SingleSource/UnitTests/SignlessTypes/shr,--,PASS,PASS,PASS,--
SingleSource/UnitTests/StructModifyTest,--,PASS,PASS,PASS,--
SingleSource/UnitTests/TestLoop,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Threads/2010-12-08-tls,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Threads/tls,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/SSE/sse.expandfft,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/SSE/sse.isamax,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/SSE/sse.shift,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/SSE/sse.stepfft,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/build,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/build2,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/constpool,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/divides,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/multiplies,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/simple,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/sumarray,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vector/sumarray-dbl,--,PASS,PASS,PASS,--
SingleSource/UnitTests/Vectorizer/gcc-loops,--,PASS,PASS,PASS,--
SingleSource/UnitTests/block-byref-cxxobj-test,--,PASS,PASS,PASS,--
SingleSource/UnitTests/block-byref-test,--,PASS,PASS,PASS,--
SingleSource/UnitTests/block-call-r7674133,--,PASS,PASS,PASS,--
SingleSource/UnitTests/block-copied-in-cxxobj,--,PASS,PASS,PASS,--
SingleSource/UnitTests/block-copied-in-cxxobj-1,--,PASS,PASS,PASS,--
SingleSource/UnitTests/blockstret,--,PASS,PASS,PASS,--
SingleSource/UnitTests/byval-alignment,--,PASS,PASS,PASS,--
SingleSource/UnitTests/conditional-gnu-ext,--,PASS,PASS,PASS,--
SingleSource/UnitTests/conditional-gnu-ext-cxx,--,PASS,PASS,PASS,--
SingleSource/UnitTests/initp1,--,PASS,PASS,PASS,--
SingleSource/UnitTests/member-function-pointers,--,PASS,PASS,PASS,--
SingleSource/UnitTests/ms_struct-bitfield,--,PASS,PASS,PASS,--
SingleSource/UnitTests/ms_struct-bitfield-1,--,PASS,PASS,PASS,--
SingleSource/UnitTests/ms_struct-bitfield-init,--,PASS,PASS,PASS,--
SingleSource/UnitTests/ms_struct-bitfield-init-1,--,PASS,PASS,PASS,--
SingleSource/UnitTests/ms_struct_pack_layout,--,PASS,PASS,PASS,--
SingleSource/UnitTests/ms_struct_pack_layout-1,--,PASS,E_FAIL,PASS,--
SingleSource/UnitTests/printargs,--,PASS,PASS,PASS,--
SingleSource/UnitTests/stmtexpr,--,PASS,PASS,PASS,--
SingleSource/UnitTests/vla,--,PASS,PASS,PASS,--
